S1	S1	S1	S2	S2	S2	S3	S3	S3	S4	S4	S4	S5	S5	S5	S6	S6	S6	S7	S7	S8	S8	S8
Picea_mature_1388	4.6422379900747	5.3424365094136	5.06801091950739	4.67279548400442	4.15432791157066	4.15432791157066	4.15432791157066	4.8517097647811	4.93789467984267	5.2246916774511	5.09873289501135	5.3027044170411	4.77776908306227	5.11123424894139	5.01126696231598	5.40187355707839	4.93132918970429	4.15432791157066	5.32476603126707	4.80472097802093	5.16563890765888	4.94418828655864	5.31885851380752
Picea_mature_654	7.88120810106182	7.65995654157701	7.4228918845536	7.2261532290123	7.2412880079182	7.21086307263173	4.15432791157066	8.14297758259447	8.35369290341087	7.82653111466719	7.92587580550756	7.81139172998443	6.78230443802543	7.12326147295527	6.72709123323975	6.7393953323977	6.25623815818233	5.46529060738633	5.24196552765522	5.45736074673737	6.59152037497126	7.16086703552925	7.2688648937679
Picea_mature_3020	7.86849779916823	7.73449935581101	8.33361595132225	8.35552398363946	8.75175339301852	8.04305396624592	7.64498339836313	6.87091326060167	6.82740036970222	6.31443535190266	6.10391061903074	6.45285821084057	8.20917559898222	7.44818286870148	7.6126939869039	7.29496493365803	6.5452904609993	5.29886915669611	8.07467852243974	8.14955263219764	6.05930487972107	6.31422309544409	5.90418000110004
Picea_mature_3268	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.31447197086222	4.29723634273942	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.67172279130856	4.15432791157066	4.60708401400602	4.5319416279633	6.54698403453251	6.41471104812076	6.48240492254151
Picea_mature_3434	7.25541804586642	6.88376971187654	6.42757507355968	6.37381939379291	6.41684710254333	6.11392718708091	4.15432791157066	7.00675745203405	7.63735826422141	6.75914141425004	6.27895948919258	5.68057139521043	7.65987907969889	6.77722673028318	6.30457225479389	5.83380085701106	6.64241696377692	4.15432791157066	8.45618341866629	7.73082141090071	6.54698403453251	6.57918418888397	5.73482952298904
Picea_mature_2417	7.02022157457314	7.12722215563958	7.33663400608787	8.86821230001563	8.56002498885546	8.14439534185869	4.15432791157066	5.85031245994275	5.94403651414033	5.15024705934085	5.04642396911337	4.81900768926201	4.49765317615506	4.71347486271005	4.78436978346897	4.88927774597171	4.35078265092377	4.15432791157066	4.15432791157066	4.6868517698366	4.58134213969906	4.67506381992962	4.61010971323721
Picea_mature_401	4.84112632752452	4.85298484044901	5.06801091950739	5.17540657312322	5.24679178172193	6.11392718708091	4.15432791157066	6.14415540374517	6.54256319511549	6.25385822858532	6.44080325395499	6.65850723961147	5.85357556671081	6.38779391670017	6.32105310906785	6.48226113171137	6.14606032377668	6.99532877171753	7.90323987115941	7.1514316161425	7.79315567872713	7.86299806129416	7.5479688568833
Picea_mature_2663	7.78975996534635	7.84619693498027	7.88323660915687	9.82491546034606	10.4296163471588	9.45960151877603	4.15432791157066	6.91481571098438	6.39006055389729	5.3367237862486	5.73193568989512	5.62320476927628	6.60280222099586	6.98352346103271	6.63326615796402	10.5164675563186	9.88872728470858	10.5196529704911	4.93228657753142	4.96181579659511	4.99934611567348	5.1377333644992	4.95833002020799
Picea_mature_3740	4.84112632752452	4.85298484044901	5.42654931442308	4.67279548400442	4.15432791157066	4.15432791157066	4.15432791157066	4.64982745688786	4.93789467984267	4.65283955380232	4.79007663161382	4.92808265380562	5.18370574755841	5.00156745654997	5.01126696231598	4.71243810429844	5.40411565098503	4.15432791157066	5.53827364528125	5.82254174842527	5.63387990448429	5.93493760967559	6.05962260173178
Picea_mature_2104	5.22574302824569	4.65074203921665	4.90440064780411	5.72411047886354	5.47763470001978	4.15432791157066	4.15432791157066	5.04902856719892	4.74150789297763	4.44309547205725	4.54560030430067	4.47336109269343	4.35285822452883	4.66528292900559	4.37862971759172	4.77735961251275	6.18151910921203	5.29886915669611	4.15432791157066	4.37275746941402	4.58134213969906	4.45605940804021	4.15432791157066
Picea_mature_3455	4.15432791157066	4.15432791157066	4.15432791157066	4.67279548400442	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.52722278622192	4.6245863124699	4.72824030559106	4.55738716181327	4.71280601414119	4.15432791157066	4.37862971759172	4.63841096403754	4.35078265092377	4.15432791157066	5.9170492739144	4.6409083755503	5.96028671331118	5.56767966517498	5.92763019670573
Picea_mature_1986	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.35285822452883	4.15432791157066	4.15432791157066	4.15432791157066	6.00143143886023	5.84961871966429	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066
Picea_mature_4000	5.63830601636024	5.59084476312615	5.76545997512375	5.57106410580288	5.66632866352204	5.58911217894971	4.15432791157066	5.48534698606361	5.30598753400864	5.05435021969782	5.20573588178576	5.10659511760448	4.86354127479809	4.98671392237655	5.29135199966833	5.14705930908059	5.24065614300298	5.46529060738633	4.79204786229763	5.06665365495668	5.77182103953179	5.76965380961301	5.54693816935956
Picea_mature_3860	7.02022157457314	7.12722215563958	7.06784492380212	6.97820045912296	7.79159761390731	7.38805224789213	4.15432791157066	7.45886121509271	6.87336161710438	6.76890458362826	6.30876424937195	6.30353736658746	6.98089016895315	6.75880946654816	6.51840997797593	7.18396824742188	7.1170689308387	6.22225366003652	8.97088741160968	6.49455597107585	7.19249283372402	6.85801387569755	7.85029707147379
Picea_mature_1112	10.2425044693466	9.88651220008195	9.24344302966369	9.49369111696465	9.02847644360489	8.04305396624592	4.15432791157066	8.86493396252743	9.98473806988874	9.67012342302322	9.29992420910015	9.08807968376794	6.81375908133191	7.40611115321452	6.9902747167261	7.85729862989896	7.52375230707781	5.60861881423558	7.21340497131495	7.09989767533068	9.12655914448602	9.67179349130851	10.1409359006787
Picea_mature_1593	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.79196128194944	4.74150789297763	4.77439534225104	4.60567341351481	4.66709896446011	5.20117245830838	4.81814770625656	4.60159020208806	4.43468500118883	4.8562589675159	4.15432791157066	4.93228657753142	5.15938444171146	4.91223986411674	4.72933976120087	4.47728153429105
Picea_mature_4007	8.12490918879857	8.19056237765657	8.38778356088684	7.91399025573231	7.79159761390731	8.49039131864889	4.15432791157066	8.02207048812616	8.97701921520127	8.87983858418131	8.49804526254243	8.69514630005795	7.95487587200589	8.06501783064945	8.15302823152472	8.45285868081777	7.93841573418399	9.12541999882917	8.37375988859803	7.4537173217978	9.45350001324903	8.74699869518268	9.63435119950909
Picea_mature_4084	6.08654738481553	5.72947242963978	6.13947199398019	7.00507880030018	5.82781778669165	4.15432791157066	4.15432791157066	5.61266815277649	4.9791879937602	4.7290203828915	4.72824030559106	4.68624304060308	5.62838981526564	5.31623785245672	5.29135199966833	7.20420514148482	6.16036240962639	5.84961871966429	4.15432791157066	4.46294033821235	4.34585165160825	4.40083990848809	4.47728153429105
Picea_mature_3103	4.6422379900747	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.72555905566983	4.93789467984267	6.1128219257482	5.55803112617824	5.93115447812007	5.26785127586505	5.93938599659799	5.43971355835284	5.58129093804212	5.47035307116901	4.15432791157066	5.53827364528125	4.96181579659511	6.62990893483316	6.72205829777851	6.94532945320746
Picea_mature_2054	7.31325562030581	7.08182362465056	6.6639516680935	6.33072608275326	6.212739628952	6.48224135624394	4.15432791157066	5.37106354845477	5.70808051793332	4.96186649357108	4.92990029275972	4.90242780183612	4.91499761303404	5.09831107461429	4.60159020208806	4.93884406478711	4.97725696382549	5.09669925792309	5.60077181132674	5.57865087455158	6.35811231712165	6.21611715555546	6.25874797935144
Picea_mature_1086	5.88329312432264	6.16269406025465	6.24278459656877	5.29032922222231	4.93581603755198	4.15432791157066	7.64498339836313	6.65907745536464	8.46071838227498	7.5420334230759	7.50877406951201	7.49780348245483	9.23878647711834	8.1271549253525	8.29299331016429	7.22415392367414	8.08508330177604	6.63414103662482	10.9360450832884	9.94382665988179	6.65800150962287	6.61137956563983	5.91204727858932
Picea_mature_1418	4.15432791157066	4.65074203921665	4.68766110067768	4.15432791157066	4.93581603755198	4.15432791157066	4.15432791157066	4.44133932335849	4.68023343659607	4.6245863124699	5.01892674871825	4.95283898707288	4.59686850173534	4.7785134815908	5.03853502593876	5.02884023234927	4.80097153122104	4.82649877672664	4.79204786229763	4.5319416279633	5.71473053490924	5.51084669324201	5.73482952298904
Picea_mature_3254	4.15432791157066	4.15432791157066	4.15432791157066	4.67279548400442	4.15432791157066	4.15432791157066	4.15432791157066	5.20652257230831	5.38476609642978	5.55457514510288	5.36003892967555	5.1829868019529	4.43487152858008	4.38378815107169	4.54205354489015	4.43468500118883	4.35078265092377	4.15432791157066	4.15432791157066	4.15432791157066	4.62176068753028	4.67506381992962	4.64629129856372
Picea_mature_2511	5.70459507763952	4.85298484044901	4.68766110067768	5.17540657312322	5.24679178172193	5.58911217894971	4.15432791157066	4.95706284056557	4.7966810667961	4.32123329248836	4.47412535758505	4.43979570900829	4.43487152858008	4.61181307736112	4.65388780239147	4.15432791157066	4.63370529206765	4.15432791157066	4.15432791157066	5.87903303146197	4.72558194396945	5.44043926198426	4.41820139111417
Picea_mature_583	4.6422379900747	4.15432791157066	4.15432791157066	4.67279548400442	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.32123329248836	4.31447197086222	4.29723634273942	4.15432791157066	4.31666621836877	4.15432791157066	4.55019380603917	7.50265969633023	8.1214925080268	4.60708401400602	4.15432791157066	4.34585165160825	4.15432791157066	4.15432791157066
Picea_mature_223	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.35285822452883	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.60708401400602	4.15432791157066	4.88868723109189	5.44043926198426	4.79627561541765
Picea_mature_13	7.36880912811913	6.68353796909352	6.89598539593988	7.29271069218595	6.8899742010245	7.00797467613266	4.15432791157066	6.56191404155312	7.05654963186223	6.86893473929012	6.78486472271106	6.65850723961147	6.01049808739461	6.27294557052208	6.10787739124557	6.58057100362467	6.28237106804987	4.15432791157066	7.84863310357811	6.61805503128551	8.67867185577915	8.18840247878344	8.96064707962845
Picea_mature_2643	7.35053368060526	7.81908292615034	7.86802972499824	8.07261801280209	8.90484919679908	10.5574897993872	4.15432791157066	5.76943812084819	5.0183113901989	4.67951869848791	4.43142187877421	4.50366968007137	4.43487152858008	4.31666621836877	4.37862971759172	4.71243810429844	4.35078265092377	5.29886915669611	4.60708401400602	4.15432791157066	4.42498522943183	4.72933976120087	4.41820139111417
