NGI_ID;User_ID;Sample;Sample3;Type;Sample2;SamplesWithPath_UPPMAX
P11601_101;PabB1C1_MIR1;Z1;Z1-SD;SD;B1;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_101_S1_L001_1.lane.clean.fasta
P11601_102;PabB1C6_MIR1;Z1;Z1-SD;SD;B1;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_102_S2_L001_1.lane.clean.fasta
P11601_103;PabB1C7_MIR1;Z1;Z1-SD;SD;B1;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_103_S3_L001_1.lane.clean.fasta
P11601_104;PabB2C3_MIR1;Z2;Z2-SD;SD;B2;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_104_S4_L001_1.lane.clean.fasta
P11601_105;PabB2C6_MIR1;Z2;Z2-SD;SD;B2;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_105_S5_L001_1.lane.clean.fasta
P11601_106;PabB2C8_MIR1;Z2;Z2-SD;SD;B2;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_106_S6_L001_1.lane.clean.fasta
P11601_107;PabB3C3_MIR1;Z3;Z3-SD;SD;B3;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_107_S7_L001_1.lane.clean.fasta
P11601_108;PabB3C4_MIR1;Z3;Z3-SD;SD;B3;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_108_S8_L001_1.lane.clean.fasta
P11601_110;PabB4C2_FMG_MIR1;Z4;Z4-FMG;FMG;B4;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_110_S9_L001_1.lane.clean.fasta
P11601_111;PabB4C2_ZE_MIR1;Z4;Z4-ZE;ZE;B4;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_111_S10_L001_1.lane.clean.fasta
P11601_112;PabB4C4_FMG_MIR1;Z4;Z4-FMG;FMG;B4;/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_112_S11_L001_1.lane.clean.fasta
