Z1-SD	Z1-SD	Z1-SD	Z2-SD	Z2-SD	Z2-SD	Z3-SD	Z3-SD	Z4-FMG	Z4-ZE	Z4-FMG	Z4-ZE	Z4-FMG	Z4-ZE	Z5-FMG	Z5-ZE	Z5-FMG	Z5-ZE	Z5-FMG	Z5-ZE	Z6-ZE	Z6-FMG	Z6-ZE	Z6-FMG	Z6-ZE	Z7-FMG	Z7-ZE	Z7-FMG	Z7-ZE	Z7-ZE	Z8-FMG	Z8-ZE	Z8-FMG	Z8-ZE	Z8-FMG	Z8-ZE	Z9-FMG	Z9-ZE	Z9-FMG	Z9-ZE	Z10-FMG	Z10-ZE	Z10-ZE	Z10-FMG	Z10-ZE	Z10-ZE	Z10-FMG	Z10-ZE	Z10-ZE	Z3-SD	Z7-FMG	Z10-FMG	Z10-FMG	Z6-FMG
Picea_mature_427	5.16818877826699	4.81968754140051	5.17812753612179	4.89783525273976	4.74731492993074	5.25377954573719	5.02262197495603	5.64043544406193	5.01868284949084	5.05037573764428	5.51417660195458	5.33498690228891	5.1565998141565	5.24118964218582	5.20299752505214	4.69812675804933	4.95991367295975	5.65113183661035	5.67990464914284	4.97825338322648	5.22515366614968	5.09796541227575	5.12233343959949	4.86164530479879	5.1070999895477	3.83065008649965	5.08145160207814	4.95540753155923	5.30637070862137	5.29555170732292	4.79535512381478	5.65706532125445	4.65485616151265	5.08565999566562	5.4150602953198	4.80023382460309	5.38986192944153	5.40776971605787	5.29775103874919	4.94613352060152	5.10083667864666	5.2079442419485	5.52433131935895	4.45724800400771	5.32813034389051	4.82367054417881	2.70607945818173	4.57224640951211	4.84429197018251	5.08462723013916	6.35538989216451	5.99942184446346	5.39776913971286	5.50670684893919
Picea_mature_1388	3.2683392156981	3.7697178936071	3.70332354862598	3.98325947771659	2.70607945818173	4.16701317595106	3.25150814171067	4.25250032454011	3.79233377753484	4.10958967840015	3.46859066298667	4.35203229991712	3.63521032944389	4.08950887554414	3.50983428461763	3.86920690606327	4.19234272730282	4.61368122071713	4.12044560884241	4.61642288955464	4.30474683594586	4.90649671517179	4.44463954764891	3.7400125337461	4.5715228529908	4.06745240374641	4.70772578569811	4.30291853665105	4.54554302471735	4.26111456940372	4.01344107438486	4.54247491234578	4.28635710816125	4.54128161404494	3.85645051182542	4.64161949680373	4.03908030143513	4.56503038988532	4.32548495514595	3.93376127643821	4.40778739303203	4.28125229452042	4.48306490945252	4.82974736374389	4.41274856901382	4.30146910229857	2.70607945818173	3.55188842915859	3.69931880428187	3.75030727279228	2.70607945818173	2.70607945818173	3.79016988975719	2.70607945818173
Picea_mature_654	8.64346135042645	8.74948121657058	9.42574839867049	9.31901667250466	9.26564501416395	9.182563845028	8.58803473316378	8.92940787563012	8.60382679025796	7.01040554997165	8.05867310657638	6.69231470363787	8.49867986308997	6.81222453624849	7.88441860189441	9.43283672001898	8.05319331179129	8.66749937414873	8.32275462269457	9.14125491651903	9.64373895917675	6.20310671913964	9.5957247546695	7.68092378091155	9.36961090434132	4.42588629616885	8.38109289020748	6.57778059192527	8.995863946099	8.44698561056622	4.89645055411608	8.1685188526891	5.88284071430613	8.12756747457575	6.87839054980069	8.67659187906981	6.53458240843915	8.80333534183642	6.00178820272705	8.33171135211244	5.90771094707706	8.38784156651381	7.83113354477259	6.3731076501307	6.90016758590589	7.79096028855226	8.45118449640085	7.57888776864476	7.13295502045967	8.51452166849079	6.41868470237249	6.12661769483591	6.43790460797185	7.83828728476388
Picea_mature_3434	6.20363168625401	6.71986334596669	6.49885008738838	6.83972599526385	6.85845130142423	6.44044397712845	5.10718614157328	4.87086617644512	6.031032234943	6.85213935778757	5.09567033445064	7.02210848674907	6.09712416678739	6.90896423875488	4.56840644277907	5.91806152771678	5.92962972731179	5.62959950327006	5.1546938167828	5.12753390398743	6.92266701625458	5.14182867856483	6.95930000372268	5.18437138839318	6.49292195072396	6.56918802003958	6.37393408617637	5.71684819861577	6.40743110773498	5.87275831891531	5.55571454774637	6.76546806597881	5.52758358258295	6.33932241563139	6.20363168625401	5.73057884331978	7.1363892452665	6.99415868041699	7.00301680435191	5.83301750114769	7.36614834955353	6.33708944920633	6.32765833335509	7.06326034347776	7.23949476091655	6.16778794857637	7.89227695722737	5.61793603046199	5.8687139192697	4.88058676715549	7.76317353448047	5.80976998565747	5.79521192670605	5.86735630531273
Picea_mature_45	3.39257552864472	4.81968754140051	4.09086537409003	4.69836063331826	4.74731492993074	4.60979935051921	4.27384104472312	4.02961308397597	4.08831178778553	4.53853572386536	4.18350393847371	4.61794902819984	4.37917510870496	4.75559800489037	5.56942169768817	5.23490864850366	3.9769945435059	5.22982845725535	4.52919318301845	5.54932306259392	5.87967963165332	4.05372618739531	5.01212680169	5.25423097807414	5.13273208788661	3.68589098048266	5.48124468557719	4.20840512426387	5.25853114124137	5.53189009652807	3.96110434539621	5.79625449503571	4.33336271550583	5.11018372447991	3.85645051182542	5.34327125220219	3.56663894374913	5.21610492715855	3.67272375852423	4.94613352060152	3.77526819435779	4.80787624560798	4.25095610210708	3.75695089324707	4.31290350317621	4.50115920194368	6.32068408091341	4.43514699116847	4.2351480498452	4.08477638049651	2.70607945818173	4.21267598826554	4.50869885078612	4.86072096933123
Picea_mature_802	2.70607945818173	4.33781253418217	3.91612838100939	7.72189823325946	8.24403506157366	7.69054462294741	4.10259302983993	5.45537913657223	3.95121095441306	4.10958967840015	3.99855572288976	2.70607945818173	4.48229481706813	3.34354761479373	4.69815407260362	2.70607945818173	3.70273130626916	2.70607945818173	4.52919318301845	2.70607945818173	2.70607945818173	3.50258749421414	2.70607945818173	3.7400125337461	2.70607945818173	3.27893785683662	2.70607945818173	3.71400171135917	2.70607945818173	2.70607945818173	3.56634869789311	2.70607945818173	3.64793863525703	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	3.6990491020798	2.70607945818173	2.70607945818173	3.20992513305824	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	4.33837500567762	3.76135299487181	3.48459651805608	3.40121987167705	2.70607945818173
Picea_mature_2417	3.10490688468101	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	3.38151875066642	3.25150814171067	3.31444051190019	3.599745109527	5.98032348365681	4.18350393847371	4.61794902819984	3.83478858928404	6.4752622279019	4.06544998187525	5.74584852008734	3.9769945435059	5.4441579548789	3.72538827690307	6.20139318827366	5.03615433293818	2.70607945818173	3.70953150426253	2.70607945818173	3.97305987105985	3.27893785683662	5.29594420514612	3.29579670627886	4.06919004072049	4.26111456940372	3.09534682667518	3.87580527726637	3.13324969454609	3.93742344774841	2.70607945818173	4.24616455977745	3.31902785274343	4.74863770985823	2.70607945818173	4.24966396497189	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	3.11822045598147	3.64398310682343	4.16852971427962	3.65403014057862	2.70607945818173	2.70607945818173
Picea_mature_401	6.18368892535755	4.81968754140051	4.24101407539392	3.45919517499727	3.5322419249103	3.65295606668964	4.10259302983993	3.31444051190019	3.79233377753484	6.38079931363183	3.77257803992849	5.98735855665376	2.70607945818173	5.81560595710516	4.16617311972041	7.36619397641388	3.28903331614983	7.15985674176149	4.12044560884241	7.11142182483456	6.66248406558751	3.81906663468898	6.02180659068215	4.94997740713005	6.14699089384257	3.51107283216714	6.04423946354896	3.42588226189305	6.31132969855059	5.91008123305401	3.25494208797154	6.38387913083089	3.64793863525703	5.56983074651959	3.52999378644099	5.61308452046965	3.31902785274343	5.49441957585869	4.54805172325031	5.86767832627185	3.6990491020798	6.39745997265381	5.86875017326603	3.06325262229538	4.99002805358213	6.49121991021818	2.70607945818173	7.45135623934394	7.37158660215245	3.18118341871098	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173
Picea_mature_2663	3.10490688468101	5.00600938591433	4.96107798611843	4.32327428469205	6.37340276950909	5.19582252796193	3.25150814171067	4.02961308397597	4.08831178778553	3.61409600094836	4.82474943534289	4.00680403329307	3.99917421929624	4.08950887554414	4.81586698359879	3.86920690606327	4.73164350926457	3.94575882931329	4.63941734223346	5.26188596540192	4.39220214964551	4.68216931857499	3.82264773241601	4.4309004606484	3.97305987105985	4.06745240374641	4.43199262187806	4.90049066643729	4.48818837083051	4.49443962988707	4.89645055411608	4.91968124568336	4.91054689802468	3.93742344774841	5.74974030267874	3.8196813330894	4.82200190241939	3.66608518645785	5.04648115108269	3.36109545442389	4.52279092317886	3.36224370395126	3.10357654536315	4.12466289942075	3.34016646729342	3.56003836429632	2.70607945818173	3.34930617530491	3.69931880428187	3.521797912902	4.16852971427962	2.70607945818173	3.88841286503902	3.69324838694982
Picea_mature_3178	3.9902411450145	6.3756959666098	6.00660330907545	7.8064604621582	7.36215751564295	7.57393371340788	5.87215799103629	7.56583657660825	6.79305902832621	5.94912878715666	7.93205463148995	5.26375301658554	8.49867986308997	5.67422852452517	8.62700479239711	4.11308204240681	7.14232953732696	4.0259855921708	8.42609264367231	5.05497852648377	3.86391445972528	4.90649671517179	3.57932587796678	5.76116957986227	3.83099162945392	3.68589098048266	3.68963112917015	4.25663996911576	3.88426953695777	3.54613870124616	3.84742920273594	3.10547948070987	3.55140003839585	3.0046666940946	4.0979958262228	3.8196813330894	4.45055171661655	3.34107209380333	4.90062188522452	2.70607945818173	4.13729713522043	3.03627552001174	3.26647527385108	3.81122708391684	3.34016646729342	3.50629989360325	5.09928211705279	3.16277671140639	3.41519853588074	7.15703619486747	4.70117355714637	3.2598715014529	3.79016988975719	4.07733840831765
