Gene_id	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_101_S1_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_102_S2_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_103_S3_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_104_S4_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_105_S5_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_106_S6_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_107_S7_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_108_S8_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_110_S9_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_111_S10_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_112_S11_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_113_S12_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_114_S13_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_115_S14_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_116_S15_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_117_S16_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_118_S17_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_119_S18_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_120_S19_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_121_S20_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_123_S21_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_124_S22_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_125_S23_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_126_S24_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_127_S25_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_128_S26_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_129_S27_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_130_S28_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_131_S30_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_133_S31_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_134_S32_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_135_S33_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_136_S34_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_137_S35_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_138_S36_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_139_S37_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_140_S38_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_141_S39_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_142_S40_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_143_S41_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_145_S42_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_146_S43_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_147_S44_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_149_S46_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_150_S47_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_151_S48_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_153_S49_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_154_S50_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_155_S51_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_157_S29_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_201_S52_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_202_S53_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_203_S54_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_204_S55_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_205_S56_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_206_S57_L002_1.lane.clean.fasta_count.m	Mean	Median	Variance	CV2
Picea_mature_1388	2	2	2	3	0	5	1	7	3	5	1	5	2	5	2	4	7	18	4	8	8	18	13	2	21	6	14	16	29	11	12	24	15	43	2	10	5	29	3	11	25	19	25	45	42	24	30	0	7	6	5	0	29	0	5	0	11.4285714285714	13	137.122077922078	1.04984090909091
Picea_mature_45	3	9	4	8	7	9	9	5	5	9	4	7	7	12	34	23	5	35	7	21	42	6	25	15	39	3	31	14	63	45	11	86	16	81	2	21	2	59	1	42	123	7	48	33	9	21	39	3	32	15	9	0	39	8	15	11	22.125	23	582.293181818182	1.18952930627737
Picea_mature_167	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	4	0	1	0	0	0	0	0	0.428571428571429	0	0.64935064935065	3.53535353535354
Picea_mature_2749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Picea_mature_401	120	9	5	1	1	2	7	1	3	53	2	27	0	34	7	136	1	178	4	76	80	4	64	11	98	2	51	3	160	63	2	141	5	126	1	27	1	77	4	101	268	6	209	185	1	47	263	0	492	285	1	0	19	0	0	0	61.8571428571429	16	9289.03376623377	2.42767658126853
Picea_mature_2521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Picea_mature_3860	100	57	59	54	44	66	65	45	75	205	49	163	56	297	51	88	47	217	75	101	88	180	45	68	89	169	117	137	126	124	230	114	226	148	106	48	30	99	72	194	98	322	335	274	464	361	287	0	253	303	109	3	146	5	39	4	130.839285714286	199	10709.9191558442	0.625618904566815
Picea_mature_1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Picea_mature_2658	0	1	0	0	0	0	0	1	0	11	0	3	0	3	0	1	0	4	0	3	5	0	1	1	3	0	0	0	15	5	0	2	0	5	0	1	0	6	0	9	14	0	0	0	0	0	21	0	56	30	0	0	0	0	0	0	3.58928571428571	0	82.7555194805195	6.42363577859234
Picea_mature_2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Picea_mature_2174	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0535714285714286	0	0.0516233766233765	17.9878787878787
Picea_mature_2627	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.178571428571429	0	0.222077922077922	6.96436363636363
Picea_mature_1613	300	83	59	68	69	87	105	57	141	193	115	98	91	130	23	60	118	179	186	59	60	261	37	49	73	179	81	229	92	115	249	70	270	172	97	36	94	75	96	109	106	313	228	226	344	315	292	4	275	272	149	27	325	21	27	16	135.803571428571	203	9018.52435064935	0.48900477450925
Picea_mature_3728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0357142857142857	0	0.0350649350649351	27.4909090909091
Picea_mature_231	3	1	1	1	0	0	4	0	2	1	0	0	0	0	1	0	0	7	0	1	1	1	8	1	2	3	1	3	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	1	0	1	1	2	1.01785714285714	2	2.52694805194805	2.43906096980889
Picea_mature_3659	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.196428571428571	0	0.197077922077922	5.10773854244929
Picea_mature_3069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Picea_mature_2957	41	8	24	15	3	27	87	118	47	5	18	6	51	10	65	59	56	34	31	27	60	1	65	24	77	1	12	7	79	48	1	59	3	53	1	24	14	140	0	58	124	7	109	91	6	17	101	0	50	31	116	6	29	10	13	22	39.125	54	1378.25681818182	0.900370896545197
Picea_mature_989	6	0	2	0	1	0	39	19	2	0	4	0	5	0	6	0	23	0	7	0	25	32	7	2	20	55	24	46	40	9	13	4	14	9	9	0	16	17	10	15	7	42	11	14	92	8	43	0	10	6	33	1	41	8	5	6	14.4285714285714	16	315.922077922078	1.51751610804645
Picea_mature_1095	1	1	4	1	0	1	0	1	1	2	5	6	0	14	2	5	0	6	0	4	10	0	7	3	11	2	2	9	16	13	5	18	3	25	1	8	4	24	1	21	28	10	17	21	3	5	17	0	17	13	2	1	7	6	3	3	6.96428571428571	8	55.0168831168831	1.13433889187735
Picea_mature_3599	213	34	15	59	46	51	164	141	114	37	101	43	111	41	65	23	57	39	48	11	20	9	21	16	37	6	2	31	39	9	44	18	23	23	8	7	26	38	11	15	39	49	72	85	62	30	122	3	106	65	270	4	150	65	89	13	54.2857142857143	78	2895.80779220779	0.982649458574666
Picea_mature_4008	2	0	1	0	0	0	0	2	0	3	0	0	0	1	0	1	0	3	0	3	2	0	1	0	7	0	1	0	5	2	0	9	0	5	0	1	0	3	0	2	10	0	20	9	0	1	4	0	6	3	0	0	3	0	0	0	1.96428571428571	0	12.325974025974	3.19456649135988
Picea_mature_3196	752	55	71	113	165	228	174	179	376	221	361	103	230	153	146	394	158	945	491	488	757	795	202	408	701	543	1196	717	840	1262	963	723	1581	989	650	451	55	547	195	709	325	357	944	437	979	659	604	1	468	483	658	7	1048	11	101	18	485.482142857143	888	134822.54512987	0.572026305495883
Picea_mature_4054	106	3	8	2	4	6	27	18	14	0	10	0	11	8	3	7	17	5	8	3	2	15	6	2	9	6	8	29	14	6	42	17	21	28	8	6	25	6	0	19	15	3	8	16	4	10	3	0	2	9	23	12	37	37	16	37	13.5892857142857	16	267.737337662338	1.44982532304836
Picea_mature_846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
