Gene_id	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_101_S1_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_102_S2_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_103_S3_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_104_S4_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_105_S5_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_106_S6_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_107_S7_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_108_S8_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_110_S9_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_111_S10_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_112_S11_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_113_S12_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_114_S13_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_115_S14_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_116_S15_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_117_S16_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_118_S17_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_119_S18_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_120_S19_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_121_S20_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_123_S21_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_124_S22_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_125_S23_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_126_S24_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_127_S25_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_128_S26_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_129_S27_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_130_S28_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_131_S30_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_133_S31_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_134_S32_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_135_S33_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_136_S34_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_137_S35_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_138_S36_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_139_S37_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_140_S38_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_141_S39_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_142_S40_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_143_S41_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_145_S42_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_146_S43_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_147_S44_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_149_S46_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_150_S47_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_151_S48_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_153_S49_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_154_S50_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_155_S51_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_157_S29_L001_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_201_S52_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_202_S53_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_203_S54_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_204_S55_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_205_S56_L002_1.lane.clean.fasta_count.m	/proj/uppstore2017145/V2/Ulrika_proj_1/sRNA_dataZE/P11601_206_S57_L002_1.lane.clean.fasta_count.m	Mean	Median	Variance	CV2
Picea_mature_654	771	225	416	344	274	390	394	403	291	87	136	48	249	77	215	606	234	538	181	334	710	60	926	110	1088	10	305	150	1190	443	38	546	81	951	48	291	67	1013	17	678	1205	89	938	862	175	250	709	15	541	238	494	20	408	59	96	136	378.035714285714	565	111066.107792208	0.777169754608952
Picea_mature_3020	113	115	65	180	133	173	103	63	20	67	8	56	19	81	22	45	31	75	8	44	60	80	69	16	53	79	84	135	164	132	261	188	161	368	38	54	121	259	92	218	190	378	193	259	457	237	375	0	425	289	79	10	231	23	55	13	129.767857142857	165	13181.3451298701	0.782754305350953
Picea_mature_3268	52	1	4	0	0	1	0	1	1	1	0	1	0	3	0	1	0	1	0	1	1	0	1	0	0	0	2	1	0	0	0	3	0	7	0	0	0	0	0	1	8	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1.73214285714286	0	49.2178571428571	16.4042087363163
Picea_mature_2777	26	1	2	1	2	1	6	6	1	19	1	8	1	4	2	11	5	17	0	4	10	2	2	2	15	8	15	8	14	21	30	36	21	11	5	2	1	7	0	25	12	37	26	12	25	23	20	0	11	16	5	1	4	0	7	0	9.85714285714286	13	97.4701298701298	1.00315823642856
Picea_mature_3740	35	4	3	4	0	0	13	5	12	19	5	4	11	3	6	9	8	20	2	4	9	9	17	7	12	17	13	17	19	11	34	15	19	34	3	0	5	14	3	21	9	24	30	33	9	26	22	0	23	25	9	3	46	2	3	0	12.6785714285714	18	117.203896103896	0.729124019404519
Picea_mature_2227	7	0	0	3	1	2	7	4	5	1	1	0	5	2	3	1	6	1	2	0	0	2	2	1	2	3	1	2	0	0	1	0	4	0	0	1	2	0	0	0	0	7	0	0	3	0	0	0	1	0	6	1	7	2	4	7	1.96428571428571	2	5.12597402597402	1.32851690458302
Picea_mature_1112	1836	129	274	347	319	1259	1912	1885	1278	401	831	157	1843	340	2128	1060	1051	944	527	582	744	57	654	374	1202	10	506	55	1335	1176	62	2028	107	2245	32	585	361	2323	15	1767	2855	87	1223	960	72	328	1435	1	1059	457	2932	340	739	582	410	1284	884.017857142857	1239	593588.672402597	0.759562523912314
Picea_mature_4007	820	216	271	193	158	209	365	337	233	206	153	154	244	175	344	219	398	373	200	202	383	722	416	222	546	692	312	1784	1193	549	1579	1152	1424	1784	309	292	305	1256	271	1347	2354	2201	1840	2248	1672	1266	2338	15	2178	1195	448	84	2605	546	939	289	789.75	781	537394.627272727	0.861616587043058
Picea_mature_2054	180	14	15	4	0	3	14	26	2	39	0	30	0	61	2	17	2	9	1	5	8	4	7	1	11	0	7	1	10	11	2	15	1	43	0	5	0	24	0	11	23	1	29	53	6	34	32	0	35	13	10	0	3	1	4	2	14.8392857142857	13	712.35551948052	3.23497404152698
Picea_mature_223	0	4	2	1	1	1	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.357142857142857	0	0.597402597402597	4.68363636363636
Picea_mature_13	3	17	24	13	5	20	3	5	0	30	0	43	1	56	1	71	0	95	2	45	51	1	76	4	90	1	47	7	98	81	0	82	6	144	1	47	2	101	0	90	135	2	122	191	2	103	145	0	117	77	2	0	26	1	4	0	40.8928571428571	30	2442.0974025974	1.46038737906322
Picea_mature_2165	49	80	69	62	88	63	77	100	72	98	29	82	62	127	45	63	124	141	86	83	79	152	104	77	159	127	69	229	216	82	228	121	118	221	54	60	127	263	63	121	204	300	131	200	410	188	173	5	149	85	145	70	641	147	117	128	131.482142857143	221	10050.7633116883	0.581387243994317
Picea_mature_3701	187	56	96	69	52	70	103	81	63	95	55	66	67	118	177	152	83	246	67	108	179	73	295	79	343	50	129	187	383	198	172	315	107	473	25	90	91	380	36	348	714	110	346	680	150	287	509	3	653	256	176	24	483	142	144	65	191.178571428571	247	29324.3675324675	0.802324824793615
Picea_mature_2947	202	263	279	196	193	240	222	152	142	196	78	195	105	245	51	130	146	297	111	181	192	414	220	57	321	371	254	697	542	273	745	413	599	685	85	132	66	535	71	502	603	448	516	1032	811	816	772	4	786	618	316	19	545	83	70	48	326.517857142857	485	64404.7996753247	0.604093772109073
Picea_mature_1233	2423	177	121	120	196	190	159	179	327	459	345	162	233	314	92	624	183	1257	520	572	754	732	194	317	620	553	1392	719	1106	1587	937	1035	1358	1348	611	634	42	955	210	1171	483	286	1384	616	904	1107	932	7	700	892	651	2	1090	17	57	19	608.482142857143	1125	251283.817857143	0.678685931609366
Picea_mature_994	83	64	70	97	71	120	55	23	6	43	0	21	6	33	18	28	3	26	4	9	7	3	24	4	20	6	8	13	20	2	12	26	11	35	2	1	5	15	3	17	15	21	7	5	11	13	14	2	10	7	24	0	9	4	5	1	20.75	23	655.245454545455	1.52183586481743
Picea_mature_3213	60	37	17	44	23	35	34	43	25	35	20	27	16	26	51	29	27	41	14	34	42	86	25	24	39	35	32	80	85	35	86	60	116	55	9	18	7	42	15	63	68	152	93	101	98	85	104	0	81	68	35	2	79	7	22	5	46.2857142857143	70	1080.02597402597	0.504127350320766
Picea_mature_1756	6	0	6	0	3	8	11	6	1	4	2	2	2	19	5	8	6	57	2	60	42	16	81	17	109	3	60	23	186	173	8	251	36	762	15	223	30	429	0	324	579	19	330	350	17	114	363	2	368	192	24	9	75	29	39	26	98.7857142857143	42	25984.4623376623	2.66271966753707
Picea_mature_1027	127	92	152	34	37	73	140	112	78	92	39	66	95	65	71	125	117	253	36	89	141	107	257	95	296	73	135	292	379	201	177	479	110	425	31	147	36	406	13	409	757	267	777	970	201	615	544	0	546	294	166	25	456	12	69	56	211.732142857143	252	46312.8905844156	1.03306655636216
Picea_mature_3234	0	2	8	0	4	10	2	2	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	17	4	2	18	7	21	6	1	0	14	10	3	7	19	19	1	7	7	6	13	0	6	2	3	0	48	42	21	0	6.05357142857143	4	95.397077922078	2.60322514043244
Picea_mature_1285	339	20	52	3	4	5	23	31	5	169	2	78	2	79	15	347	4	298	5	201	309	21	393	17	357	2	174	21	567	287	5	315	30	448	3	99	0	339	0	381	594	8	582	725	9	581	545	0	524	409	18	1	21	2	3	6	169.25	53	45167.9	1.5767852350604
Picea_mature_1457	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0.321428571428571	0	0.731168831168831	7.07699214365881
Picea_mature_431	1	14	12	1	2	3	0	0	2	102	1	129	0	146	3	41	3	74	0	44	50	4	50	4	80	0	50	6	108	58	2	43	5	117	0	21	3	71	1	76	63	9	84	93	1	91	84	0	75	63	0	0	28	0	2	0	34.2857142857143	15	1696.53506493506	1.44323295454545
Picea_mature_326	237	37	66	141	65	214	510	368	525	108	462	47	484	97	1123	209	734	220	606	125	360	191	369	365	432	61	229	366	741	599	217	520	259	678	100	152	567	848	70	917	1383	641	1349	1393	887	423	1627	8	1452	593	855	276	1730	943	1122	793	533.821428571429	855	196514.076623377	0.689606995956652
