P7854_101_S16.fa;206630;58923;94364;142407;253309;244364
P7854_102_S17.fa;194070;64775;101776;143562;249263;246550
P7854_103_S18.fa;246564;46604;82694;133866;235796;254473
S1;215754,6667;56767,33333;92944,66667;139945;246122,6667;248462,3333
P7854_104_S19.fa;232200;63242;82991;99299;193524;328740
P7854_105_S20.fa;222485;13642;49469;116247;295641;302513
P7854_106_S21.fa;215301;21045;56664;122282;352311;232394
S2;223328,6667;32643;63041,33333;112609,3333;280492;287882,3333
P7854_107_S22.fa;849740;18134;33678;23316;41450;33678
P7854_108_S23.fa;216596;89259;135174;155519;193589;209861
P7854_109_S24.fa;228281;75195;187290;167086;168949;173196
S3;431539;60862,66667;118714;115307;134662,6667;138911,6667
P7854_110_S25.fa;222514;91417;160633;151626;231846;141962
P7854_111_S26.fa;233171;72240;137565;167342;231990;157688
P7854_112_S27.fa;238349;64674;118908;178171;214865;185030
S4;231344,6667;76110,33333;139035,3333;165713;226233,6667;161560
P7854_113_S28.fa;489894;30670;43044;82071;139115;215203
P7854_114_S29.fa;325853;45810;65845;126017;167010;269462
P7854_115_S30.fa;344661;49650;62226;123300;170187;249972
S5;386802,6667;42043,33333;57038,33333;110462,6667;158770,6667;244879
P7854_116_S31.fa;194464;16191;47712;114044;219390;408196
P7854_117_S32.fa;971461;7222;3508;6421;5051;6335
P7854_118_S33.fa;923969;17001;10823;16395;18483;13325
S6;696631,3333;13471,33333;20681;45620;80974,66667;142618,6667
P7854_119_S34.fa;930417;9620;37571;4352;4312;13726
P7854_121_S36.fa;686921;25724;27168;69627;87269;103288
S7;808669;17672;32369,5;36989,5;45790,5;58507
P7854_122_S37.fa;226823;87547;187481;121669;226308;150169
P7854_123_S38.fa;263355;54114;133173;142888;244430;162037
P7854_124_S39.fa;498271;84901;227539;46104;70037;73144
S8;329483;75520,66667;182731;103553,6667;180258,3333;128450
