Sample_name;Sample_ID;19nt;20nt;21nt;22nt;23nt;24nt
P11601_145_S42_L002_1.lane.clean.fasta;X;364628;30044;54559;103291;139302;308173
P11601_203_S54_L002_1.lane.clean.fasta;X;206827;23964;44415;154333;196037;374422
P11601_146_S43_L002_1.lane.clean.fasta;Z10-FMG;403468;15871;17812;120182;179733;262930
P11601_150_S47_L002_1.lane.clean.fasta;Z10-FMG;242573;21096;37855;153024;275740;269710
P11601_154_S50_L002_1.lane.clean.fasta;Z10-FMG;794134;10925;13025;117185;38004;26724
P11601_204_S55_L002_1.lane.clean.fasta;Z10-FMG;342576;8747;8899;171192;152385;316198
P11601_205_S56_L002_1.lane.clean.fasta;Z10-FMG;202886;13523;13743;99278;114417;556149
;Z10-FMG_Avg;397127,4;14032,4;18266,8;132172,2;152055,8;286342,2
P11601_147_S44_L002_1.lane.clean.fasta;Z10-ZE;420562;40268;52453;98277;227177;161261
P11601_149_S46_L002_1.lane.clean.fasta;Z10-ZE;303066;47382;75556;139085;244417;190492
P11601_151_S48_L002_1.lane.clean.fasta;Z10-ZE;255781;43164;59412;143396;311351;186892
P11601_153_S49_L002_1.lane.clean.fasta;Z10-ZE;329698;45371;69926;140038;234876;180089
P11601_155_S51_L002_1.lane.clean.fasta;Z10-ZE;392078;39353;63477;124319;194387;186383
P11601_157_S29_L001_1.lane.clean.fasta;Z10-ZE;371364;51775;70957;112002;239926;153973
;Z10-ZE_Avg;345424,8333;44552,16667;65296,83333;126186,1667;242022,3333;176515
P11601_101_S1_L001_1.lane.clean.fasta;Z1-SD;256443;46488;81111;169702;256033;190220
P11601_102_S2_L001_1.lane.clean.fasta;Z1-SD;218291;37776;76549;129434;344098;193848
P11601_103_S3_L001_1.lane.clean.fasta;Z1-SD;247385;36303;101375;113820;333055;168059
;Z1-SD_Avg;240706,3333;40189;86345;137652;311062;184042,3333
P11601_104_S4_L001_1.lane.clean.fasta;Z2-SD;297217;42824;102837;90386;275594;191139
P11601_105_S5_L001_1.lane.clean.fasta;Z2-SD;262006;48913;95754;129341;269601;194383
P11601_106_S6_L001_1.lane.clean.fasta;Z2-SD;290151;43907;105675;108514;249001;202749
;Z2-SD_Avg;283124,6667;45214,66667;101422;109413,6667;264732;196090,3333
P11601_107_S7_L001_1.lane.clean.fasta;Z3-SD;381083;53908;148482;92992;186941;136591
P11601_108_S8_L001_1.lane.clean.fasta;Z3-SD;399126;46956;110355;104575;184508;154477
P11601_201_S52_L002_1.lane.clean.fasta;Z3-SD;216314;41876;222821;101628;226830;190529
;Z3-SD_Avg;332174,3333;47580;160552,6667;99731,66667;199426,3333;160532,3333
P11601_110_S9_L001_1.lane.clean.fasta;Z4-FMG;387323;25554;67172;104267;227467;188214
P11601_112_S11_L001_1.lane.clean.fasta;Z4-FMG;334256;32873;80626;55056;351597;145590
P11601_114_S13_L001_1.lane.clean.fasta;Z4-FMG;224287;31251;159641;87362;266419;231037
;Z4-FMG_Avg;315288,6667;29892,66667;102479,6667;82228,33333;281827,6667;188280,3333
P11601_111_S10_L001_1.lane.clean.fasta;Z4-ZE;188690;22761;30967;185369;256595;315615
P11601_113_S12_L001_1.lane.clean.fasta;Z4-ZE;120190;17814;37144;231268;301976;291605
P11601_115_S14_L001_1.lane.clean.fasta;Z4-ZE;143787;23125;38900;207399;286221;300564
;Z4-ZE_Avg;150889;21233,33333;35670,33333;208012;281597,3333;302594,6667
P11601_116_S15_L001_1.lane.clean.fasta;Z5-FMG;189634;32565;105359;148814;151603;372022
P11601_118_S17_L001_1.lane.clean.fasta;Z5-FMG;333657;13651;43847;210325;199031;199485
P11601_120_S19_L001_1.lane.clean.fasta;Z5-FMG;280667;20338;88406;141494;243585;225506
;Z5-FMG_Avg;267986;22184,66667;79204;166877,6667;198073;265671
P11601_117_S16_L001_1.lane.clean.fasta;Z5-ZE;335938;68906;102812;112831;237009;142500
P11601_119_S18_L001_1.lane.clean.fasta;Z5-ZE;282487;60988;76912;125637;280334;173640
P11601_121_S20_L001_1.lane.clean.fasta;Z5-ZE;265677;63665;100700;106789;256348;206817
;Z5-ZE_Avg;294700,6667;64519,66667;93474,66667;115085,6667;257897;174319
P11601_124_S22_L001_1.lane.clean.fasta;Z6-FMG;191195;14002;27788;166999;304649;295365
P11601_126_S24_L001_1.lane.clean.fasta;Z6-FMG;364135;38864;88564;80191;191020;237223
P11601_206_S57_L002_1.lane.clean.fasta;Z6-FMG;323083;9743;14781;175691;150303;326396
;Z6-FMG;292804,3333;20869,66667;43711;140960,3333;215324;286328
P11601_123_S21_L001_1.lane.clean.fasta;Z6-ZE;385131;46845;67918;108406;190272;201425
P11601_125_S23_L001_1.lane.clean.fasta;Z6-ZE;368014;47374;95101;148575;165309;175624
P11601_127_S25_L001_1.lane.clean.fasta;Z6-ZE;307450;38615;84523;152269;191127;226013
;Z6-ZE_Avg;353531,6667;44278;82514;136416,6667;182236;201020,6667
P11601_128_S26_L001_1.lane.clean.fasta;Z7-FMG;205351;14712;31775;217893;307349;222917
P11601_130_S28_L001_1.lane.clean.fasta;Z7-FMG;200257;23369;41951;169935;289012;275474
P11601_202_S53_L002_1.lane.clean.fasta;Z7-FMG;412634;12567;10737;164193;148020;251846
;Z7-FMG_Avg;272747,3333;16882,66667;28154,33333;184007;248127;250079
P11601_129_S27_L001_1.lane.clean.fasta;Z7-ZE;196905;28572;50585;198160;248457;277318
P11601_131_S30_L002_1.lane.clean.fasta;Z7-ZE;338960;39012;77057;135412;189351;220205
P11601_133_S31_L002_1.lane.clean.fasta;Z7-ZE;295620;22148;54946;133784;214089;279409
;Z7-ZE_Avg;277161,6667;29910,66667;60862,66667;155785,3333;217299;258977,3333
P11601_134_S32_L002_1.lane.clean.fasta;Z8-FMG;204466;18272;32975;179286;258663;306335
P11601_136_S34_L002_1.lane.clean.fasta;Z8-FMG;329404;19548;36401;133226;237487;243931
P11601_138_S36_L002_1.lane.clean.fasta;Z8-FMG;264938;27950;47084;200360;234240;225424
;Z8-FMG_Avg;266269,3333;21923,33333;38820;170957,3333;243463,3333;258563,3333
P11601_135_S33_L002_1.lane.clean.fasta;Z8-ZE;271239;25630;51826;149941;201225;300137
P11601_137_S35_L002_1.lane.clean.fasta;Z8-ZE;150100;25885;56887;196799;248715;321610
P11601_139_S37_L002_1.lane.clean.fasta;Z8-ZE;270346;39239;96934;118872;223668;250938
;Z8-ZE_Avg;230561,6667;30251,33333;68549;155204;224536;290895
P11601_140_S38_L002_1.lane.clean.fasta;Z9-FMG;427808;9280;11731;148587;152101;250491
P11601_142_S40_L002_1.lane.clean.fasta;Z9-FMG;345902;15839;24757;150055;215021;248424
;Z9-FMG_Avg;386855;12559,5;18244;149321;183561;249457,5
P11601_141_S39_L002_1.lane.clean.fasta;Z9-ZE;299714;33452;89994;125283;184394;267160
P11601_143_S41_L002_1.lane.clean.fasta;Z9-ZE;248996;26519;57125;143068;241264;283024
;Z9-ZE_Avg;274355;29985,5;73559,5;134175,5;212829;275092
