P11601_101_S1_L001_1,19534,24181,83930,18093,18030,34039
P11601_102_S2_L001_1,24485,28084,52809,35132,47828,97629
P11601_103_S3_L001_1,19880,22380,50121,25565,34788,154918
P11601_104_S4_L001_1,27063,32233,59544,49038,67764,118357
P11601_105_S5_L001_1,25159,29934,53605,45007,62494,111807
P11601_106_S6_L001_1,41069,47948,84719,69547,94125,164450
P11601_107_S7_L001_1,25656,29809,63214,38253,46074,101401
P11601_108_S8_L001_1,25652,30979,66628,40005,50735,120596
P11601_110_S9_L001_1,11609,13385,33915,14435,17610,75269
P11601_111_S10_L001_1,14879,18359,49746,28901,43423,271730
P11601_112_S11_L001_1,19857,20819,34864,18584,19332,44379
P11601_113_S12_L001_1,12552,14258,33879,17026,22862,132431
P11601_114_S13_L001_1,14938,15778,37253,13934,16355,57105
P11601_115_S14_L001_1,14723,17591,45859,22232,30678,205383
P11601_116_S15_L001_1,17832,20924,50637,21933,30510,156196
P11601_117_S16_L001_1,18287,21481,72477,22738,42196,606233
P11601_118_S17_L001_1,9548,11630,34175,13105,17811,102317
P11601_119_S18_L001_1,24520,27678,82171,30133,49040,672369
P11601_120_S19_L001_1,17378,19371,32359,18651,21573,59399
P11601_121_S20_L001_1,32928,35137,64867,36056,48627,319605
P11601_123_S21_L001_1,13845,16864,72073,21293,51563,1056191
P11601_124_S22_L001_1,9765,11873,33318,13212,17648,109050
P11601_125_S23_L001_1,10018,12687,77439,15273,43379,1144064
P11601_126_S24_L001_1,7738,9482,26319,10175,13775,77379
P11601_127_S25_L001_1,18769,22657,102826,27868,65586,1319971
P11601_128_S26_L001_1,8424,10473,27236,11663,13846,31435
P11601_129_S27_L001_1,18479,21635,61684,24194,34930,328147
P11601_130_S28_L001_1,10934,13213,45904,13119,15466,46361
